id,name,location,about,wifi,food,ac,parking,laundry,power_backup,security,cctv,rules,required_documents,owner_details,vacancies,price,property_type,capacity,rating
38,hst_chn_4,Chennai,Velachery IT corridor,0,0,1,0,1,1,1,1,Tech park adjacent,Aadhar and PAN,Joseph Turner,0,2300,pg,2,3.9
39,hst_chn_5,Chennai,Mylapore temple town,0,0,0,1,1,1,1,1,Cultural heritage area,ID proof,Mary Phillips,2,2200,others,3,3.6
40,hst_chn_6,Chennai,Guindy comfort,1,1,1,0,1,0,1,0,Peaceful residential,Aadhar,James Campbell,1,5700,pg,3,4.1
41,hst_chn_7,Chennai,Vadapalani locale,0,1,1,0,0,0,0,0,Local atmosphere,ID proof,Robert Parker,3,2000,pg,2,3.5
42,hst_chn_8,Chennai,Besant Nagar bohemian,1,1,0,1,1,1,1,0,Artsy community,Aadhar,Michael Edwards,2,4700,pg,1,4.2
43,hst_chn_9,Chennai,Royapettah accessible,1,0,0,0,1,1,1,1,Central station close,ID proof,Daniel Collins,3,4900,others,3,3.8
44,hst_chn_10,Chennai,Thiruvanmiyur suburban,1,0,0,1,0,1,0,1,Calm suburban area,Aadhar,David Reeves,2,2300,hostel,1,3.9
45,hst_chn_11,Chennai,Perambur industrial,1,1,1,0,1,0,1,1,Industrial area base,ID proof,Jennifer Stewart,0,2600,others,4,4.0
46,hst_chn_12,Chennai,Choolaimedu hub,1,0,1,1,1,1,0,1,Busy commercial area,Aadhar,Paul Morris,3,7000,pg,1,4.4
47,hst_chn_13,Chennai,Madras University area,0,1,0,1,1,0,0,0,Student hub,Student ID,Andrew Sanchez,0,1950,hostel,4,3.7
48,hst_chn_14,Chennai,ECR peaceful road,1,1,1,0,1,0,1,0,Scenic highway location,Aadhar and PAN,Jessica Rogers,1,4800,hostel,4,4.5
49,hst_chn_15,Chennai,Palavanthur estate,0,0,0,1,1,1,0,1,Estate living,ID proof,Ashley Bell,3,2800,hostel,1,3.8
